t_ms,seg00,seg01,seg02,seg03,seg04,seg05,seg06,seg07,seg08,seg09,seg10,seg11,seg12,seg13,seg14,seg15,seg16,seg17,seg18,seg19,seg20,seg21,seg22,seg23
654.071,-0.454748,-0.441997,-0.491608,-0.553813,-0.639839,-0.745707,-0.850738,-0.896628,-0.846089,-0.731876,-0.585616,-0.429266,-0.255962,-0.076797,0.093467,0.263042,0.490203,0.674999,0.766625,0.807767,0.926617,1.015187,0.985680,0.897781
688.496,-0.344946,-0.420733,-0.511010,-0.579519,-0.675267,-0.776590,-0.875303,-0.894683,-0.829268,-0.681793,-0.518821,-0.359688,-0.189461,-0.008675,0.157785,0.314030,0.525308,0.690681,0.758046,0.794905,0.918235,1.002094,0.951832,0.848149
722.920,-0.437883,-0.411870,-0.459671,-0.525277,-0.616852,-0.721005,-0.829397,-0.880070,-0.840185,-0.736680,-0.602523,-0.455432,-0.284755,-0.109083,0.056577,0.228386,0.458127,0.648577,0.742332,0.794446,0.913626,1.006526,0.983334,0.900323
757.345,-0.600076,-0.509143,-0.531564,-0.584623,-0.645582,-0.731736,-0.826814,-0.874073,-0.825435,-0.715946,-0.562731,-0.403563,-0.225625,-0.052182,0.117166,0.282367,0.501503,0.679412,0.770255,0.812843,0.916219,1.001905,0.978197,0.887376
791.770,-0.437445,-0.445880,-0.507350,-0.568471,-0.648857,-0.744860,-0.842163,-0.873627,-0.816257,-0.687243,-0.532459,-0.377015,-0.208348,-0.034087,0.130308,0.287532,0.498862,0.667717,0.745774,0.785908,0.902866,0.988359,0.951317,0.857744
826.195,-0.778208,-0.547919,-0.507931,-0.543071,-0.568727,-0.645109,-0.736743,-0.809884,-0.778810,-0.711732,-0.581221,-0.434927,-0.267963,-0.113919,0.046074,0.208325,0.421627,0.603133,0.717946,0.767630,0.860413,0.950441,0.957779,0.895803
860.619,-0.875749,-0.560639,-0.487752,-0.516979,-0.528605,-0.596473,-0.688021,-0.776732,-0.761098,-0.720123,-0.604979,-0.467994,-0.303376,-0.158424,-0.003333,0.161361,0.376119,0.564570,0.691484,0.751965,0.836834,0.931084,0.956387,0.907124
895.044,-1.085891,-0.652130,-0.529031,-0.542595,-0.519786,-0.573573,-0.657229,-0.760589,-0.749024,-0.727187,-0.609698,-0.467419,-0.297568,-0.158723,-0.000869,0.164634,0.377769,0.566599,0.706900,0.764093,0.832422,0.924291,0.964832,0.922059
929.469,-1.097840,-0.636860,-0.502440,-0.514981,-0.490664,-0.544451,-0.630572,-0.742229,-0.739659,-0.732188,-0.626778,-0.492172,-0.326483,-0.192669,-0.038792,0.128137,0.342836,0.536647,0.683798,0.747711,0.816019,0.911433,0.961327,0.927848
963.894,-1.450602,-0.737589,-0.499056,-0.486495,-0.407370,-0.437860,-0.518300,-0.672862,-0.700586,-0.758278,-0.679534,-0.556346,-0.391343,-0.278693,-0.130294,0.042631,0.260054,0.468103,0.651740,0.729679,0.771504,0.872513,0.968815,0.966512
998.319,-1.136324,-0.627130,-0.465991,-0.466972,-0.422718,-0.474465,-0.557619,-0.678917,-0.683572,-0.697772,-0.610314,-0.490020,-0.343101,-0.227655,-0.087052,0.068398,0.268470,0.455335,0.613377,0.680113,0.749262,0.847676,0.914892,0.906039
1032.743,-1.183791,-0.645411,-0.480239,-0.485638,-0.445135,-0.489678,-0.574044,-0.698407,-0.709454,-0.725915,-0.635771,-0.512099,-0.352638,-0.230756,-0.084547,0.080427,0.291211,0.487225,0.644422,0.718198,0.779671,0.878846,0.946043,0.927001
1067.168,-1.134733,-0.644464,-0.492447,-0.495658,-0.454807,-0.506605,-0.588758,-0.704427,-0.702483,-0.704928,-0.606265,-0.477649,-0.323438,-0.200958,-0.054480,0.103280,0.306287,0.492402,0.645320,0.707078,0.775093,0.870638,0.929566,0.910204
1101.593,-1.120259,-0.567953,-0.405209,-0.416530,-0.384388,-0.420978,-0.508614,-0.635870,-0.667575,-0.702032,-0.638228,-0.539442,-0.393609,-0.285850,-0.156580,0.003413,0.207556,0.405211,0.560473,0.658686,0.722134,0.830065,0.909167,0.902887
1136.018,-1.081811,-0.643398,-0.519263,-0.527831,-0.492911,-0.536442,-0.612714,-0.708332,-0.696456,-0.673230,-0.558864,-0.425971,-0.269045,-0.143407,0.002233,0.152210,0.345410,0.518296,0.651466,0.711851,0.778936,0.870439,0.913177,0.877046
1170.442,-1.131410,-0.635203,-0.478070,-0.480034,-0.438816,-0.494396,-0.578564,-0.699044,-0.699624,-0.708956,-0.616277,-0.490513,-0.339594,-0.219165,-0.073971,0.084482,0.288654,0.477351,0.635430,0.697614,0.767819,0.864851,0.928200,0.915303
1204.867,-0.833021,-0.485418,-0.396180,-0.423800,-0.436062,-0.508182,-0.606362,-0.710883,-0.716124,-0.708158,-0.628462,-0.517376,-0.373555,-0.246389,-0.107972,0.052989,0.263539,0.458144,0.598968,0.676580,0.768559,0.872737,0.920117,0.900202
1239.292,-0.740169,-0.405458,-0.321242,-0.355289,-0.383768,-0.464985,-0.572807,-0.686258,-0.706517,-0.716546,-0.661884,-0.568227,-0.435380,-0.314254,-0.184566,-0.020690,0.194641,0.399471,0.547346,0.639055,0.740648,0.853055,0.910523,0.905772
1273.717,-0.741219,-0.380877,-0.283422,-0.314859,-0.340446,-0.424154,-0.534892,-0.658159,-0.687840,-0.715485,-0.676902,-0.593776,-0.469798,-0.356751,-0.233540,-0.070440,0.144026,0.352718,0.509785,0.607707,0.711667,0.828333,0.897667,0.907763
1308.142,-0.998614,-0.438454,-0.267546,-0.283100,-0.267220,-0.319461,-0.422254,-0.571336,-0.631071,-0.707375,-0.693109,-0.628136,-0.507897,-0.417622,-0.307181,-0.145838,0.061747,0.275113,0.449891,0.571122,0.650553,0.773328,0.878318,0.909342
1342.566,-0.762560,-0.367652,-0.255326,-0.285811,-0.310606,-0.396085,-0.510856,-0.645873,-0.686100,-0.731530,-0.706479,-0.630368,-0.508895,-0.399542,-0.278616,-0.111012,0.108875,0.326319,0.493404,0.598189,0.702000,0.822776,0.903225,0.923482
1376.991,-0.508075,-0.269525,-0.217583,-0.262695,-0.323441,-0.430021,-0.552206,-0.667275,-0.694727,-0.712088,-0.684880,-0.611215,-0.499330,-0.383282,-0.264979,-0.102642,0.114377,0.325595,0.477241,0.576961,0.703239,0.824321,0.884088,0.898781
1411.416,-0.339270,-0.155202,-0.131253,-0.192139,-0.285610,-0.401291,-0.535765,-0.651861,-0.695411,-0.721128,-0.718094,-0.663914,-0.560503,-0.446199,-0.337063,-0.170135,0.054208,0.276885,0.426149,0.546110,0.685078,0.815625,0.877651,0.898739
1445.841,-0.304010,-0.164314,-0.164672,-0.232714,-0.336690,-0.448923,-0.581393,-0.683442,-0.718224,-0.721368,-0.701514,-0.637855,-0.524146,-0.399830,-0.284597,-0.116324,0.109716,0.328746,0.463682,0.580802,0.718353,0.845170,0.891419,0.892901
1480.265,0.034490,0.031983,-0.017192,-0.096782,-0.236296,-0.375600,-0.521078,-0.615716,-0.657332,-0.664833,-0.682817,-0.653439,-0.579880,-0.472977,-0.383577,-0.231958,-0.021974,0.190124,0.321809,0.450788,0.622480,0.760110,0.808466,0.840594
1514.690,0.112524,0.064634,-0.015387,-0.107731,-0.266214,-0.397638,-0.543412,-0.623634,-0.666851,-0.657702,-0.670250,-0.642790,-0.562999,-0.450623,-0.362251,-0.210005,0.000571,0.211144,0.325100,0.464692,0.635762,0.774030,0.809979,0.824836
1549.115,-0.018301,0.060466,0.018140,-0.070888,-0.211777,-0.315194,-0.456899,-0.550406,-0.622177,-0.645691,-0.680708,-0.673828,-0.596765,-0.501357,-0.426706,-0.275676,-0.070180,0.144778,0.263129,0.431501,0.585219,0.730797,0.789956,0.814976
1583.540,0.032040,0.086129,0.055994,-0.019732,-0.148625,-0.274915,-0.418667,-0.520791,-0.583893,-0.619140,-0.667280,-0.666242,-0.613912,-0.530900,-0.463751,-0.324520,-0.131156,0.075889,0.211266,0.362579,0.532625,0.678440,0.747605,0.803444
1617.965,-0.185315,-0.027053,-0.009121,-0.072322,-0.176667,-0.301839,-0.443997,-0.566721,-0.628401,-0.679172,-0.716287,-0.695805,-0.624602,-0.532564,-0.447900,-0.293230,-0.082373,0.138605,0.294430,0.432825,0.588506,0.730203,0.809392,0.863680
1652.389,-0.169349,-0.022806,-0.017218,-0.087224,-0.200846,-0.320713,-0.463256,-0.580418,-0.643689,-0.686740,-0.719049,-0.696860,-0.617991,-0.520553,-0.433504,-0.275110,-0.060041,0.163206,0.311006,0.454984,0.607822,0.749552,0.822506,0.865048
1686.814,-0.044514,0.090783,0.083664,0.008194,-0.112903,-0.221815,-0.364585,-0.476531,-0.560338,-0.618296,-0.682943,-0.696161,-0.644490,-0.571387,-0.512710,-0.371995,-0.179034,0.033804,0.172539,0.344749,0.503956,0.655483,0.740113,0.802107
