t_ms,seg00,seg01,seg02,seg03,seg04,seg05,seg06,seg07,seg08,seg09,seg10,seg11,seg12,seg13,seg14,seg15,seg16,seg17,seg18,seg19,seg20,seg21,seg22,seg23
3235.929,0.273294,0.334925,0.315016,0.293131,0.278986,0.233744,0.153996,0.117066,0.039518,-0.017476,-0.150502,-0.285864,-0.412392,-0.493817,-0.581276,-0.617359,-0.645083,-0.603235,-0.523120,-0.326074,-0.141483,0.013936,0.130475,0.306640
3270.354,0.395422,0.380147,0.338795,0.312883,0.281464,0.213562,0.125980,0.090110,0.020949,-0.029192,-0.164222,-0.297504,-0.429862,-0.505710,-0.590258,-0.624337,-0.646771,-0.601724,-0.518069,-0.331116,-0.130584,0.025209,0.135444,0.316699
3304.779,0.413504,0.392821,0.339513,0.302671,0.254019,0.188864,0.096308,0.060642,-0.015611,-0.063346,-0.197333,-0.328915,-0.448232,-0.514193,-0.592927,-0.615080,-0.623051,-0.565913,-0.486777,-0.289834,-0.092267,0.065708,0.171457,0.339219
3339.204,0.198323,0.282934,0.282927,0.264607,0.250305,0.186295,0.098685,0.043585,-0.028709,-0.094062,-0.220336,-0.336991,-0.448041,-0.513476,-0.581227,-0.597391,-0.599447,-0.537409,-0.436780,-0.255936,-0.070494,0.082861,0.202035,0.377808
3373.628,0.556875,0.453633,0.361893,0.314338,0.245164,0.177928,0.083948,0.064783,-0.007863,-0.037129,-0.169857,-0.306912,-0.431343,-0.496185,-0.580413,-0.608683,-0.623020,-0.573148,-0.510227,-0.308602,-0.102337,0.056374,0.149217,0.309270
3408.053,0.574518,0.455516,0.362164,0.323497,0.271092,0.209676,0.125318,0.117641,0.053783,0.032308,-0.098693,-0.241967,-0.383937,-0.463235,-0.559928,-0.609310,-0.649881,-0.623082,-0.567802,-0.372016,-0.163483,-0.007703,0.084205,0.253356
3442.478,0.490363,0.416333,0.344911,0.310069,0.263432,0.197479,0.110053,0.088625,0.022634,-0.010501,-0.140882,-0.276238,-0.408969,-0.482272,-0.569576,-0.607536,-0.634252,-0.595067,-0.526379,-0.335231,-0.130792,0.024772,0.123207,0.293929
3476.903,0.630505,0.476618,0.376081,0.341864,0.294032,0.227623,0.146059,0.144727,0.088245,0.071890,-0.060880,-0.208698,-0.365030,-0.452444,-0.556776,-0.618822,-0.674088,-0.660139,-0.607174,-0.417951,-0.201810,-0.047177,0.043379,0.222080
3511.327,-0.900868,-0.244422,-0.001747,0.093240,0.333507,0.398600,0.404832,0.341952,0.288384,0.181126,0.099740,-0.005978,-0.144231,-0.295874,-0.398049,-0.501112,-0.627946,-0.671690,-0.559209,-0.411920,-0.322617,-0.199576,-0.020427,0.194520
3545.752,0.375362,0.319010,0.260355,0.251705,0.262470,0.226315,0.170699,0.179391,0.142014,0.138197,0.036727,-0.094192,-0.248066,-0.346285,-0.450438,-0.533451,-0.618502,-0.635889,-0.589739,-0.420273,-0.227833,-0.086399,0.003536,0.175641
3580.177,-0.213288,0.114123,0.218584,0.257282,0.369641,0.373689,0.336112,0.288077,0.219143,0.129531,0.003676,-0.135130,-0.291350,-0.423748,-0.535017,-0.619144,-0.713207,-0.724333,-0.627480,-0.450883,-0.302350,-0.159042,-0.004441,0.211745
3614.602,0.015409,0.200299,0.247919,0.266289,0.331216,0.307886,0.255427,0.217371,0.156524,0.089547,-0.033048,-0.166390,-0.316965,-0.429751,-0.531600,-0.603378,-0.678337,-0.677055,-0.588001,-0.415213,-0.246117,-0.101131,0.033050,0.236123
3649.027,-0.174001,0.119914,0.211180,0.250051,0.362855,0.368269,0.334490,0.296999,0.235547,0.158453,0.038801,-0.099566,-0.260368,-0.394759,-0.509187,-0.601699,-0.705844,-0.727785,-0.639573,-0.466888,-0.315907,-0.174953,-0.027396,0.185920
3683.451,-0.090378,0.130819,0.190684,0.226490,0.334625,0.342976,0.315441,0.299964,0.253096,0.204069,0.099552,-0.035387,-0.200063,-0.333950,-0.451515,-0.556707,-0.675971,-0.716030,-0.647013,-0.480850,-0.325857,-0.189650,-0.059148,0.142597
3717.876,-0.126741,0.120406,0.189072,0.223165,0.328592,0.336110,0.304997,0.281377,0.228887,0.171916,0.065214,-0.067386,-0.224314,-0.353352,-0.465639,-0.561255,-0.668976,-0.698141,-0.623014,-0.453823,-0.301910,-0.164222,-0.030008,0.169960
3752.301,-0.417630,-0.032615,0.097675,0.163764,0.339210,0.378662,0.374159,0.351766,0.311132,0.249872,0.161712,0.036992,-0.126896,-0.277099,-0.396328,-0.517034,-0.660075,-0.721236,-0.644291,-0.491024,-0.363530,-0.236378,-0.090290,0.118089
3786.726,-0.856712,-0.227825,-0.000170,0.091236,0.326558,0.395546,0.403717,0.350159,0.298552,0.201011,0.122501,0.014589,-0.125485,-0.278001,-0.383539,-0.491489,-0.624353,-0.674407,-0.571524,-0.421561,-0.331263,-0.208696,-0.035617,0.174120
3821.150,-0.654927,-0.204630,-0.044987,0.045589,0.277338,0.345450,0.368980,0.365042,0.353549,0.320034,0.275758,0.176329,0.018974,-0.136365,-0.250879,-0.393784,-0.567753,-0.665126,-0.601563,-0.476022,-0.371265,-0.261053,-0.125593,0.066959
3855.575,-0.454198,-0.095435,0.021740,0.091404,0.278629,0.329574,0.337419,0.335607,0.315145,0.285013,0.226702,0.118111,-0.038373,-0.183711,-0.297911,-0.428693,-0.585095,-0.665720,-0.606639,-0.467666,-0.347199,-0.229645,-0.101624,0.086596
3890.000,-0.444188,-0.102610,0.004800,0.067137,0.240079,0.285274,0.287761,0.284704,0.265558,0.241560,0.190681,0.091844,-0.050393,-0.181885,-0.284723,-0.402297,-0.541888,-0.610487,-0.551345,-0.413950,-0.293527,-0.176507,-0.055438,0.120131
