t_s,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46,x47,x48,y0,y1,y2,y3,y4,y5,y6,y7,y8,y9,y10,y11,y12,y13,y14,y15,y16,y17,y18,y19,y20,y21,y22,y23,y24,y25,y26,y27,y28,y29,y30,y31,y32,y33,y34,y35,y36,y37,y38,y39,y40,y41,y42,y43,y44,y45,y46,y47,y48
533.700000,0.250382,0.237152,0.223712,0.211652,0.199502,0.187732,0.175592,0.164052,0.152262,0.140132,0.126942,0.112402,0.097802,0.084572,0.072942,0.062272,0.051962,0.044972,0.041162,0.037282,0.031642,0.027912,0.027452,0.025882,0.021602,0.014092,0.006882,-0.001008,-0.009608,-0.020568,-0.031778,-0.042398,-0.053858,-0.065188,-0.077878,-0.091698,-0.107328,-0.122558,-0.138138,-0.151958,-0.165538,-0.178228,-0.190988,-0.202188,-0.213088,-0.223558,-0.234228,-0.246598,-0.261548,0.073176,0.077996,0.079146,0.081246,0.084876,0.089686,0.094806,0.101706,0.110506,0.117856,0.123786,0.125306,0.123376,0.119336,0.113546,0.104576,0.093126,0.080806,0.067136,0.053006,0.039076,0.024506,0.009216,-0.004594,-0.016314,-0.025934,-0.036044,-0.046034,-0.054164,-0.059114,-0.062824,-0.067604,-0.072894,-0.078864,-0.082644,-0.084064,-0.083604,-0.083604,-0.083254,-0.084664,-0.086314,-0.088444,-0.092574,-0.098804,-0.104904,-0.111574,-0.121064,-0.128824,-0.129074
533.730000,0.250056,0.236616,0.223076,0.210616,0.198996,0.188096,0.176596,0.164546,0.152546,0.140226,0.126906,0.112026,0.097756,0.084256,0.073876,0.064156,0.054966,0.045686,0.041126,0.038616,0.035166,0.030516,0.026536,0.023396,0.019246,0.015486,0.009616,0.001476,-0.009574,-0.019144,-0.028394,-0.038834,-0.052254,-0.064664,-0.077124,-0.090984,-0.106774,-0.122234,-0.137684,-0.153494,-0.167744,-0.180134,-0.192334,-0.204984,-0.216744,-0.228084,-0.239144,-0.250024,-0.261804,0.072041,0.076601,0.077961,0.080181,0.083891,0.088401,0.093581,0.100291,0.109091,0.116501,0.122651,0.124241,0.121761,0.117361,0.111781,0.103791,0.093841,0.084241,0.072321,0.058141,0.043941,0.030001,0.015591,0.001881,-0.010879,-0.023309,-0.034329,-0.043769,-0.050589,-0.057329,-0.063009,-0.068769,-0.073109,-0.079059,-0.083469,-0.085269,-0.084809,-0.084789,-0.084789,-0.084399,-0.085279,-0.089809,-0.095999,-0.101999,-0.108329,-0.116619,-0.124779,-0.131219,-0.134359
533.770000,0.255472,0.240442,0.225132,0.211302,0.197602,0.185782,0.173132,0.162082,0.150422,0.139562,0.126312,0.111882,0.096792,0.082742,0.070102,0.060332,0.052082,0.047022,0.042092,0.038332,0.032542,0.029952,0.027322,0.024712,0.020582,0.015722,0.007212,-0.003188,-0.013488,-0.023168,-0.033008,-0.042498,-0.054838,-0.067838,-0.079598,-0.091728,-0.105278,-0.119228,-0.133508,-0.149918,-0.164448,-0.177268,-0.190008,-0.201538,-0.212818,-0.222978,-0.234268,-0.245368,-0.260688,0.077891,0.079071,0.080841,0.083321,0.085791,0.091131,0.096651,0.103851,0.111741,0.119401,0.123291,0.123831,0.121141,0.116961,0.110251,0.100121,0.089651,0.078411,0.066401,0.051911,0.038361,0.023181,0.009161,-0.004419,-0.017159,-0.028339,-0.037229,-0.045309,-0.052689,-0.058249,-0.064089,-0.070289,-0.073649,-0.076809,-0.078869,-0.079659,-0.079749,-0.081839,-0.083269,-0.082569,-0.083349,-0.087439,-0.093489,-0.100359,-0.105939,-0.113189,-0.121659,-0.130339,-0.132419
533.800000,0.254291,0.238781,0.225291,0.214181,0.203931,0.192021,0.178851,0.165711,0.154361,0.143891,0.132231,0.117991,0.102481,0.088431,0.077301,0.067331,0.057121,0.048561,0.043331,0.037731,0.033231,0.029721,0.028541,0.026101,0.023921,0.017631,0.008421,-0.003009,-0.014109,-0.024909,-0.034339,-0.044389,-0.057549,-0.070179,-0.081879,-0.094699,-0.110579,-0.126019,-0.141559,-0.156799,-0.170129,-0.182569,-0.195159,-0.208669,-0.219439,-0.228359,-0.236949,-0.248219,-0.261869,0.076652,0.079012,0.078422,0.080372,0.083582,0.088542,0.092282,0.098332,0.106702,0.113712,0.118212,0.120262,0.120492,0.118802,0.114072,0.107432,0.097822,0.085732,0.072182,0.058642,0.044422,0.030032,0.014992,0.001222,-0.011278,-0.022078,-0.033048,-0.044478,-0.053568,-0.059878,-0.065138,-0.071328,-0.074738,-0.078348,-0.081848,-0.084428,-0.083958,-0.083928,-0.083608,-0.084508,-0.087518,-0.091968,-0.096678,-0.100568,-0.105608,-0.112178,-0.122038,-0.131438,-0.137758
533.830000,0.255413,0.240913,0.226153,0.212853,0.199773,0.188083,0.176093,0.164683,0.152913,0.140133,0.126553,0.112093,0.098283,0.084053,0.070983,0.060553,0.051963,0.047033,0.043063,0.038593,0.033853,0.030993,0.029973,0.027193,0.023023,0.016603,0.009113,-0.001017,-0.011977,-0.021377,-0.031317,-0.042547,-0.055357,-0.067077,-0.079897,-0.093397,-0.108987,-0.124137,-0.139387,-0.154547,-0.167687,-0.179727,-0.192447,-0.205047,-0.215527,-0.225847,-0.236177,-0.247027,-0.260447,0.077790,0.078970,0.080740,0.083220,0.085890,0.090250,0.095560,0.102580,0.111260,0.117080,0.120970,0.121510,0.119740,0.114710,0.108010,0.098760,0.089860,0.079760,0.067700,0.053630,0.040020,0.025850,0.010890,-0.002310,-0.012980,-0.021590,-0.031610,-0.041680,-0.050160,-0.056550,-0.062880,-0.069280,-0.073960,-0.078310,-0.081580,-0.083560,-0.083020,-0.083020,-0.082780,-0.083270,-0.086140,-0.090820,-0.095380,-0.099580,-0.105680,-0.113350,-0.122490,-0.130030,-0.132720
533.870000,0.254370,0.242630,0.228130,0.213800,0.200250,0.188250,0.175990,0.165270,0.154180,0.144490,0.132890,0.119380,0.103370,0.089620,0.078220,0.067120,0.056320,0.047980,0.044590,0.040950,0.035290,0.029640,0.027090,0.024060,0.019910,0.014260,0.006200,-0.003960,-0.014570,-0.024740,-0.034530,-0.044140,-0.055060,-0.068180,-0.081010,-0.094410,-0.108590,-0.124450,-0.140070,-0.155330,-0.169690,-0.183130,-0.197230,-0.209060,-0.219430,-0.227900,-0.238160,-0.248730,-0.261890,0.077690,0.078810,0.080710,0.082790,0.085380,0.089640,0.095380,0.102310,0.108380,0.113780,0.117690,0.119930,0.119450,0.117060,0.111530,0.103240,0.094440,0.083560,0.070240,0.055670,0.041580,0.027210,0.012690,-0.000790,-0.012970,-0.023990,-0.034430,-0.044840,-0.053210,-0.059050,-0.064510,-0.070400,-0.074990,-0.077370,-0.080050,-0.082160,-0.083480,-0.083130,-0.082870,-0.083460,-0.086220,-0.091210,-0.095620,-0.100970,-0.106200,-0.114560,-0.123370,-0.130940,-0.128380
533.900000,0.257653,0.244053,0.229803,0.214693,0.200423,0.188323,0.177233,0.166343,0.155113,0.143473,0.129723,0.114503,0.100003,0.087643,0.077073,0.065363,0.054923,0.047283,0.043013,0.038143,0.033793,0.029573,0.027633,0.025403,0.023083,0.016603,0.007283,-0.004247,-0.014387,-0.024387,-0.035007,-0.046197,-0.055617,-0.065527,-0.078187,-0.093557,-0.109077,-0.124447,-0.139817,-0.155577,-0.169537,-0.182157,-0.194557,-0.206607,-0.217997,-0.228777,-0.239727,-0.250077,-0.262687,0.081411,0.078001,0.079571,0.081261,0.082361,0.085471,0.091621,0.098891,0.106561,0.113571,0.117961,0.119531,0.118021,0.115191,0.110101,0.103961,0.094331,0.083041,0.070341,0.057651,0.043471,0.029501,0.014691,0.000891,-0.011519,-0.022199,-0.033289,-0.043709,-0.052479,-0.058629,-0.063049,-0.067219,-0.072969,-0.079259,-0.083139,-0.083969,-0.083619,-0.083619,-0.083619,-0.083159,-0.084569,-0.088369,-0.094039,-0.100679,-0.107349,-0.114459,-0.122869,-0.130529,-0.129119
533.930000,0.259596,0.246666,0.232266,0.218536,0.205396,0.193876,0.181596,0.169336,0.156916,0.145036,0.131756,0.116926,0.101976,0.088296,0.075766,0.063536,0.054266,0.048626,0.044626,0.040136,0.035136,0.031336,0.027756,0.024656,0.020776,0.014666,0.005276,-0.005594,-0.015944,-0.026784,-0.036834,-0.046714,-0.057824,-0.070144,-0.083044,-0.097224,-0.112644,-0.127774,-0.143264,-0.157124,-0.169814,-0.182464,-0.195394,-0.207364,-0.218364,-0.230464,-0.240254,-0.249404,-0.260314,0.082941,0.080241,0.081521,0.084051,0.086661,0.091241,0.095371,0.100371,0.107431,0.115271,0.119751,0.121181,0.119871,0.116511,0.109681,0.101001,0.089761,0.077911,0.065581,0.053161,0.039411,0.024861,0.011281,-0.000659,-0.012179,-0.024129,-0.035849,-0.045649,-0.052869,-0.057189,-0.061919,-0.067999,-0.072999,-0.077459,-0.080659,-0.082449,-0.081949,-0.081949,-0.081599,-0.082649,-0.085719,-0.090209,-0.094029,-0.098829,-0.106789,-0.116019,-0.123599,-0.128169,-0.131559
533.970000,0.258090,0.245290,0.232390,0.217580,0.202240,0.190300,0.178520,0.166490,0.153820,0.144280,0.132980,0.119710,0.103380,0.088880,0.076710,0.066110,0.056050,0.048490,0.042100,0.036540,0.031750,0.029460,0.026610,0.022990,0.018910,0.014760,0.007910,-0.001050,-0.010120,-0.018850,-0.029310,-0.041360,-0.053280,-0.065870,-0.079190,-0.093980,-0.109390,-0.125390,-0.141290,-0.157370,-0.171560,-0.184300,-0.197280,-0.210670,-0.222500,-0.234190,-0.244770,-0.254700,-0.265940,0.079614,0.077554,0.078794,0.079674,0.080144,0.084734,0.090364,0.096054,0.100034,0.106524,0.111024,0.115104,0.115194,0.112594,0.106484,0.100754,0.095144,0.087244,0.076184,0.063644,0.050654,0.036654,0.021804,0.008224,-0.004966,-0.017446,-0.029916,-0.039976,-0.048836,-0.055426,-0.060396,-0.065866,-0.071946,-0.077486,-0.081616,-0.084686,-0.085746,-0.085396,-0.085286,-0.085166,-0.087556,-0.092366,-0.097686,-0.101766,-0.108716,-0.118456,-0.124936,-0.127896,-0.134656
534.000000,0.258492,0.247192,0.233772,0.219562,0.205062,0.192202,0.179822,0.167862,0.154812,0.143952,0.132722,0.119392,0.104832,0.090892,0.079202,0.067222,0.057062,0.048812,0.043352,0.037432,0.031922,0.028812,0.026672,0.023322,0.019172,0.014812,0.007682,-0.002498,-0.014478,-0.024998,-0.035678,-0.046958,-0.059678,-0.071328,-0.084208,-0.099218,-0.114358,-0.126768,-0.139268,-0.153898,-0.169108,-0.183028,-0.195218,-0.206438,-0.217578,-0.229838,-0.241848,-0.253758,-0.265918,0.080316,0.081246,0.082356,0.081326,0.081756,0.084086,0.090806,0.096346,0.100806,0.106496,0.112766,0.116946,0.116726,0.113496,0.108396,0.102876,0.096436,0.087496,0.075056,0.062276,0.049856,0.036146,0.020776,0.007156,-0.005994,-0.018364,-0.030284,-0.041644,-0.050784,-0.057554,-0.062854,-0.069444,-0.074324,-0.079884,-0.083824,-0.085484,-0.086684,-0.087264,-0.086484,-0.085044,-0.088094,-0.092114,-0.096884,-0.100884,-0.106984,-0.114464,-0.124364,-0.131364,-0.130854
